Date,Zonguldak_Temp2m,Zonguldak_Basinc,Zonguldak_Kar,Zonguldak_Yagmur,Istanbul_Temp2m,Istanbul_Basinc,Istanbul_Kar,Istanbul_Yagmur,Moskova_Temp2m,Moskova_Basinc,Moskova_Ruzgar,Sibirya_Bati_Temp2m,Sibirya_Bati_Basinc,Sibirya_Bati_Ruzgar,Sibirya_Derin_Temp2m,Sibirya_Derin_Basinc,Sibirya_Derin_Ruzgar,Iskandinavya_Temp2m,Iskandinavya_Basinc,Iskandinavya_Ruzgar,Izlanda_Temp2m,Izlanda_Basinc,Izlanda_Ruzgar,Azor_Temp2m,Azor_Basinc,Azor_Ruzgar,Gronland_Temp2m,Gronland_Basinc,Gronland_Ruzgar,Ingiltere_Temp2m,Ingiltere_Basinc,Ingiltere_Ruzgar,Italya_Temp2m,Italya_Basinc,Italya_Ruzgar,Balkanlar_Temp2m,Balkanlar_Basinc,Balkanlar_Ruzgar,Kutup_Merkez_Basinc,Aleut_YB_Temp2m,Aleut_YB_Basinc,Aleut_YB_Ruzgar
2015-01-01,2.988333,1026.5502,0.0,0.8000001,3.1425831,1027.3917,0.0,0.0,0.9553333,1000.7751,18.232336,-32.61058,1013.37915,3.4905674,-11.286583,991.0625,13.7941265,0.83883333,980.34174,19.865984,-1.2775832,983.4207,11.034125,14.09517,1029.3708,27.541607,-30.915915,996.46246,23.789713,7.96175,1027.625,26.42052,4.712666,1030.6375,5.0251946,-6.091917,1027.7875,15.152797,1021.30005,3.9729173,1018.3667,25.307747
2015-01-02,3.4341667,1022.9958,0.0,3.5000002,4.032167,1023.8,0.0,0.0,1.2220001,985.98334,24.069344,-25.15225,1005.33344,8.8401,-26.107422,1011.75836,14.217444,-1.9590832,990.02094,20.136032,-1.8025831,996.12915,13.974851,13.726418,1032.6458,28.564081,-37.78883,1001.8833,14.814584,7.676333,1028.5583,19.929602,7.000166,1028.1874,5.917865,-3.1815007,1021.8,9.001929,1016.1751,4.0125003,1019.85004,37.429096
2015-01-03,6.0029163,1013.95013,0.0,8.7,6.8925824,1014.2209,0.0,9.400001,-0.48008335,982.7249,20.256304,-17.358503,991.20844,4.113547,-32.9845,1024.6001,13.254853,-4.2945004,1008.3,17.784225,-1.6234165,1009.0916,17.485336,13.147248,1032.7626,26.483442,-38.884666,1008.97925,20.193336,4.1013336,1023.89166,11.327691,10.579333,1020.0916,10.87827,-1.7273335,1011.8625,11.264513,1023.1291,3.7833335,1020.48755,31.500069
2015-01-04,2.971666,1013.07916,0.63,12.7,4.000917,1014.06244,0.0,6.7000012,-10.38425,997.36255,17.258968,-13.343917,995.9917,4.838325,-17.3845,1008.01245,10.128789,-8.161166,1021.0125,10.771807,2.4786665,993.35004,33.468014,12.736835,1026.8124,33.339195,-37.06383,1011.6501,23.819046,2.338833,1035.0,7.462647,6.9209995,1027.2584,10.657782,-4.3960834,1015.35425,11.050956,1026.6376,4.054167,1019.8916,33.4542
2015-01-05,1.4633332,1008.03326,5.5999994,2.5000002,2.38425,1010.9958,7.559999,6.1000004,-20.186335,1018.52905,18.388433,-20.439753,1003.92487,7.224841,-9.697,1011.20013,10.941195,-3.8299162,1019.2542,15.899661,1.1953334,981.2209,27.657896,9.432667,1029.0625,28.887417,-31.86383,993.6834,34.285824,6.609667,1029.0875,10.34769,6.0960007,1024.7875,5.400771,-8.458583,1018.08344,10.318449,1015.14996,2.8645833,1019.2708,39.40094
2015-01-06,-0.69499993,1020.7124,5.88,0.90000004,-1.072,1025.4166,5.1799994,0.49999988,-21.755083,1031.8043,11.222777,-26.760582,1010.33746,6.7775087,-5.5824165,1019.2793,12.760507,-1.33825,1009.79584,13.55502,1.0099167,980.4543,29.040487,9.653501,1032.0624,14.468944,-31.382586,982.0251,32.072575,6.3221664,1021.2749,15.132264,7.423083,1028.85,5.764089,-10.939834,1033.0793,6.721353,1004.03754,1.0583333,1018.4126,35.607048
2015-01-07,-3.53875,1033.5625,4.550001,0.0,-1.9428334,1036.5375,1.6100004,0.0,-13.396751,1025.1208,19.777395,-34.73975,1013.5501,8.117588,-5.2345004,1014.61664,12.783581,-0.63408333,996.16656,13.293913,2.5599165,950.6001,36.921314,12.418083,1031.7416,24.275515,-28.49925,971.65826,44.156857,5.547167,1023.66254,21.162195,8.491833,1033.1083,4.806343,-13.679417,1039.6418,4.27328,1008.58765,0.27291667,1008.00836,29.272755
2015-01-08,-3.7387497,1032.3667,0.28,0.0,-0.53658336,1032.8209,0.14,0.0,-8.37175,1001.60834,18.988756,-38.439747,1008.59985,6.132299,-5.1199164,1007.8333,17.408531,-8.019501,991.8,9.818187,0.05575,970.5583,34.841873,13.0535,1037.2958,22.956232,-29.14508,971.09576,36.50327,8.424251,1020.7417,19.288536,9.329333,1032.7833,4.7899346,-7.073168,1027.4208,18.237577,1005.20013,1.9104167,1001.28735,39.262123
2015-01-09,2.3862498,1015.0459,0.56,9.099999,5.3717504,1016.1333,0.0,7.2,-4.778,990.40424,10.553657,-37.15225,1011.80414,6.651763,-6.49075,1010.4792,18.39867,-8.921584,980.28754,16.816149,-2.0900834,976.01245,18.832964,13.143085,1039.6375,22.815285,-31.207586,978.19995,28.211523,11.224248,1017.7625,30.83853,10.048083,1024.7958,5.6629114,3.0039165,1010.1707,18.395952,1017.4334,2.5520837,1003.38745,26.008589
2015-01-10,5.3362503,1014.9124,0.0,0.0,9.492583,1014.8582,0.0,0.0,-2.3592498,984.7625,16.729353,-23.287668,1011.0291,8.413486,-16.863665,1025.3751,15.739391,-10.561167,986.55414,15.557184,-3.977583,976.9084,8.43315,13.076417,1037.0376,12.666962,-31.651329,991.0583,36.43122,9.176333,1014.3416,29.403427,11.012666,1018.6375,10.904269,3.820583,1007.5793,12.55366,1015.1792,3.9562495,996.3042,39.107975
